id,appno,tradingname,town,postcode7,country_id,slaughterhouse,x,y,last_yr,last_mth
198,5004,GRESSINGHAM FOODS,Diss,,1,yes,,,2020,5
199,5007,Crown Chicken Ltd,Diss,IP215TL,1,yes,624931.0,279806.0,2020,5
200,5008,1Stop Halal Limited,Eye,IP237AJ,1,yes,614371.0,273759.0,2019,11
201,5011,2 Sisters Food Group Ltd,Bungay,NR351NT,1,yes,630911.0,285923.0,2020,5
202,5023,Leonard Ames (Ampthill) Ltd,Ampthill,MK452NX,1,yes,502674.0,236529.0,2020,5
203,5028,A D HARVEY,Norwich,,1,yes,,,2020,5
204,5041,K Poultry Limited,Bow,E3  2NR,1,yes,,,2020,5
205,5049,Bernard Matthews Foods Limited,Halesworth,IP198NJ,1,yes,640258.0,278913.0,2020,5
206,5055,A P Burlton (Farms) Limited,Royston,SG8 6JP,1,yes,,,2020,5
207,5067,IHP Ltd,Bovingdon,HP3 0NQ,1,yes,,,2020,5
208,5069,Gressingham Foods Ltd,Woodbridge,,1,yes,,,2020,5
209,5088,A & G Barber Ltd,Chelmsford,,1,yes,,,2020,2
210,5090,Elmkirk Limited,Brentwood,CM133EN,1,yes,560567.0,188509.0,2020,5
211,5091,DALEHEAD  FOODS (A DIVISION OF TULIP),Spalding,,1,yes,,,2020,5
212,5094,P J STEVENS FAMILY BUTCHER,Boston,PE220LE,1,yes,537703.0,343858.0,2020,5
213,5106,DAWN CARDINGTON,Bedford,,1,yes,,,2018,4
214,5116,Dovecote Park (Skellingthorpe) Ltd,Lincoln,LN6 5TX,1,yes,,,2020,5
215,5120,N V GAGEN & SON,Wisbech,PE134ND,1,yes,542358.0,311840.0,2020,5
216,5130,EVANS & SONS,Bedford,MK430LT,1,yes,499045.0,243444.0,2020,5
217,5144,C A LEECH & SONS,Royston,SG8 6DX,1,yes,,,2020,5
218,5154,H J HELLETT & SONS,Huntingdon,PE280HL,1,yes,510087.0,267785.0,2020,5
219,5177,Lincolnshire Meat Company Ltd,Grantham,NG317DA,1,yes,490967.0,335734.0,2020,5
220,5184,A WRIGHT  & SON,Boston,,1,yes,,,2020,5
221,5203,H DAWSON & SONS,Boston,PE216HB,1,yes,532897.0,344022.0,2020,5
222,5204,L Brown & Sons Wholesale Butchers Ltd,Lincoln,LN3 4NL,1,yes,,,2020,5
223,5207,H G Blake (Costessey) Ltd,Norwich,NR104DU,1,yes,616543.0,316419.0,2020,5
224,5213,Cranswick Country Food PLC,Thetford,,1,yes,,,2020,5
225,5215,J E HOWARD BUTCHERS AND HOWARD'S ABATTOIR,Kings Lynn,PE321QJ,1,yes,572300.0,319419.0,2020,1
226,5217,J W SARGEANT,Kings Lynn,PE343PP,1,yes,561097.0,306985.0,2020,5
227,5218,ARTHUR HOWELL,Wells Next The Sea,NR231AN,1,yes,591678.0,343666.0,2019,2
228,5241,Ruse & Son Ltd,Sudbury,CO109JF,1,yes,586408.0,245762.0,2019,7
229,5251,DENHAM ESTATE,Bury St Edmunds,,1,yes,,,2019,2
230,5269,C HUMPHREYS & SONS,Chelmsford,CM3 2BH,1,yes,,,2020,5
231,5280,Fowler Bros (Latchingdon) Ltd,Burnham-on-Crouch,CM0 8NA,1,yes,,,2020,5
232,5319,Romford Halal Meats Ltd,Upminster,RM141TH,1,yes,558010.0,188860.0,2020,5
233,5345,GST Limited,Braintree,CM7 5BA,1,yes,,,2020,5
234,5388,Kelly Turkey Farms Limited,Chelmsford,CM2 7TB,1,yes,,,2020,5
235,5392,C J BYFORD & SON,Little Clacton,,1,yes,,,2020,5
236,5415,Telmara Farm Ltd,Saffron Walden,CB113LZ,1,yes,557379.0,231330.0,2018,3
237,5450,Traditional Norfolk Poultry Ltd,Attleborough,NR171DS,1,yes,598711.0,293065.0,2020,5
238,5464,Banham Poultry (2018) Ltd,Attleborough,NR172AT,1,yes,605279.0,294892.0,2020,5
239,5491,MUSLIM HALAL LIVE POULTRY,London,E1  2LP,1,yes,,,2018,6
240,5513,WOODHEAD BROTHERS,Spalding,PE113YY,1,yes,525219.0,324634.0,2020,5
241,5519,C & K Meats Ltd,Eye,IP237HE,1,yes,613340.0,275496.0,2020,5
242,6060,P.C.Turner - Wholesale Butcher,Farnborough,GU146JS,1,yes,487711.0,154070.0,2020,5
243,6067,Tottingworth Farms Ltd,Heathfield,TN218TH,1,yes,560351.0,121845.0,2020,5
244,6107,T. Allman Butchers Limited,Edenbridge,,1,yes,,,2020,5
245,6116,Forge Farm Meats Ltd,Southborough,,1,yes,,,2020,5
246,6128,Ken Ballard Ltd,Tonbridge,TN129HZ,1,yes,574101.0,144610.0,2020,5
247,6130,S W DOUGHTY,Sittingbourne,ME9 0BH,1,yes,,,2020,5
248,6135,BRAMBLE FARM,West Horsley,KT246AP,1,yes,508456.0,152518.0,2019,7
249,6207,Mutchmeats Ltd,Witney,OX297GX,1,yes,434628.0,208277.0,2020,5
250,6238,ABP GUILDFORD,Guildford,GU1 1RP,1,yes,,,2020,5
251,6298,Copas Traditional Turkeys Ltd,Maidenhead,SL6 9UB,1,yes,,,2020,5
252,6326,J R Farm Meats Ltd,Canterbury,CT3 3HN,1,yes,,,2020,5
253,6342,STM (Sussex) Ltd,Henfield,,1,yes,,,2020,5
254,6359,Laverstoke Park Farm Ltd,Basingstoke,RG253DR,1,yes,451910.0,146831.0,2018,5
255,6391,Turrill Hill Farm,Hampshire,RG253DR,1,yes,451910.0,146831.0,2018,2
256,7002,2 Sisters Food Group Limited T/A 2 Sisters Llangefini,Llangefni,LL777UX,2,yes,246170.0,375029.0,2020,5
257,7009,2 Sisters Food Group Limited T/A 2 Sisters Sandycroft,Deeside,CH5 2QP,2,yes,,,2020,5
258,7015,Dunbia (Wales) (T/A Dunbia Llanybydder),Llanybydder,SA409QE,2,yes,253005.0,244560.0,2020,5
259,7023,Evan Roberts T/A E Roberts and Sons,Blaenau Ffestiniog,LL414PY,2,yes,271610.0,340732.0,2019,3
260,7036,M K (Wales) Ltd T/A (Maddock Kembery Meats),Maesteg,CF340NW,2,yes,286167.0,190921.0,2020,5
261,7046,William Arthur James (T/A WA James Butchers),Raglan,NP152EB,2,yes,341080.0,207652.0,2020,5
262,7047,Maelor Foods Limited,Wrexham,LL130UE,2,yes,338611.0,346687.0,2020,5
263,7048,Hugh Phillips Gower Butcher,Swansea,SA4 3TB,2,yes,,,2020,5
264,7069,Williams Lloyd Williams and Son Limited,Machynlleth,SY208AA,2,yes,274578.0,300823.0,2020,5
265,7072,WJ George (Butchers) Ltd,Brecon,LD3 0PD,2,yes,,,2020,5
266,7084,Huw Evans & Morag Evans (T/A Cig Oen Caron),Tregaron,SY256NJ,2,yes,268825.0,259443.0,2020,5
267,7096,ET Jones Sons & Daughter,Holyhead,LL653TU,2,yes,233408.0,380395.0,2020,5
268,7099,Conwy Valley Meats Limited,Llanrwst,LL260DG,2,yes,279780.0,361931.0,2020,5
269,7103,David Thomas James Thomas Stephen Thomas & Simeon Thomas (T/A D & J Thomas),Wrexham,LL141AF,2,yes,329110.0,346388.0,2020,5
270,7105,Cyril Jones and Stephen Jones T/A Jones Brothers,Wrexham,LL114YF,2,yes,332171.0,351990.0,2020,5
271,7110,William E Edwards & Glyn Davies (T/A J Williams & Co),Denbigh,LL163BS,2,yes,305720.0,366399.0,2018,10
272,7132,Fairfield Meat Company Limited,Wrexham,LL130TS,2,yes,337336.0,347909.0,2018,3
273,7135,Randall Parker Foods Ltd,Llanidloes,SY186LX,2,yes,299524.0,285379.0,2020,5
274,7147,John B Evans & Robert W Evans (T/A GR Evans & Co),Corwen,LL219BU,2,yes,307642.0,345084.0,2020,5
275,7161,Capestone Organic Poultry Limited,Haverfordwest,SA623DY,2,yes,186459.0,209697.0,2020,5
276,7164,Usk Vale Poultry Ltd,Pontypool,,2,yes,,,2020,5
277,7176,2 Sisters Red Meat Ltd T/A St Merryn Foods - Merthyr Tydfil,Merthyr Tydfil,CF482TA,2,yes,307802.0,208695.0,2018,8
278,7182,David T Havard,Caerphilly,CF831NF,2,yes,313792.0,185441.0,2020,5
279,7198,Cig Calon Cymru 2010 CYF T/A Cig Calon Cymru,Llanelli,SA146RX,2,yes,257290.0,212608.0,2020,5
280,8005,2 Sisters Food Group Ltd,Cullompton,EX152PJ,1,yes,303034.0,111131.0,2020,5
281,8013,Creedy Carver Limited,Crediton,EX174AF,1,yes,285070.0,102082.0,2020,5
282,8016,Freemans of Newent Ltd,Newent,GL181HP,1,yes,372983.0,225708.0,2020,5
283,8019,OTTER VALLEY POULTRY LIMITED,Honiton,EX149QD,1,yes,319898.0,106787.0,2020,5
284,8025,MANOR FARM DEER,Bristol,BS484AQ,1,yes,346894.0,167203.0,2019,2
285,8037,University of Bristol,Bristol,BS405DU,1,yes,345904.0,160742.0,2020,5
286,8046,DAWN TREBURLEY,Launceston,,1,yes,,,2018,4
287,8061,TULIP FRESH MEATS (WESTERLEIGH),Bristol,BS378QZ,1,yes,368898.0,179187.0,2020,5
288,8068,COMBE MARTIN MEATS,Ilfracombe,EX340NS,1,yes,258892.0,145896.0,2020,5
289,8070,P J HAYMAN & SONS,Ottery St Mary,EX111PQ,1,yes,312443.0,96569.0,2020,5
290,8071,Dawn West Devon,Okehampton,,1,yes,,,2018,4
291,8072,P J KING & SON,Gloucester,GL4 0UG,1,yes,,,2020,5
292,8073,ST MERRYN FOODS BODMIN,Bodmin,PL312QB,1,yes,208344.0,67135.0,2018,8
293,8101,EAST HILL PRIDE,Ottery St Mary,EX111QQ,1,yes,311915.0,94445.0,2020,5
294,8113,H R Jasper and Son Ltd,Launceston,PL157JL,1,yes,228799.0,81803.0,2020,5
295,8115,R J TREVARTHEN WHOLESALE BUTCHERS,Penryn,TR109AP,1,yes,176362.0,35858.0,2020,5
296,8117,Vivian Olds Ltd,Penzance,TR197HS,1,yes,136901.0,31523.0,2020,5
297,8119,Alec Jarrett Limited,Bristol,BS309TN,1,yes,368096.0,172169.0,2020,5
298,8122,NANTEAGUE ABATTOIR,Truro,,1,yes,,,2020,5
299,8145,J Broomhall Ltd,Gloucester,GL103AA,1,yes,377435.0,205363.0,2020,5
300,8149,Bakers of Nailsea Limited,Nailsea,BS484DD,1,yes,344418.0,169022.0,2020,5
301,8165,Universal Traders Gloucester Ltd,Gloucester,GL2 8JX,1,yes,,,2020,5
302,8184,A C Hopkins (Taunton) Ltd,Taunton,TA3 5PN,1,yes,,,2020,5
303,8189,C M Howard and Sons,Frome,BA111PT,1,yes,377795.0,147904.0,2019,11
304,8191,C SNELL WHOLESALE,Chard,TA202NY,1,yes,332379.0,104495.0,2020,5
305,8193,STRAP ORCHARD ABATTOIR,Wincanton,BA9 9EE,1,yes,,,2020,5
306,8201,F Drury & Sons Limited,Swindon,SN4 7PF,1,yes,,,2020,5
307,8207,ABP STURMINSTER,Sturminster Newton,DT101HA,1,yes,380450.0,115269.0,2020,5
308,8216,ABP Yetminster,Sherborne,DT9 6HQ,1,yes,,,2020,5
309,8217,S J NORMAN  & SONS,Bridport,DT6 3SF,1,yes,,,2020,5
310,8229,W S CLARKE & SONS,Salisbury,SP5 5ND,1,yes,,,2020,5
311,8231,Stillmans (Somerset) Ltd,Taunton,TA2 6PX,1,yes,,,2020,5
312,8241,T & H Lobb Limited,Bodmin,PL305LY,1,yes,201402.0,66755.0,2020,5
313,8249,H F Stiles & Son Ltd,Chippenham,SN152ED,1,yes,396147.0,165951.0,2020,5
314,8250,W J PEARCE  AND SONS,Bristol,BS408PR,1,yes,357314.0,163112.0,2020,5
315,8285,ABP LANGPORT,Langport,TA109HG,1,yes,342868.0,126218.0,2020,5
316,8301,Gages Farm Ltd,Ashburton,,1,yes,,,2020,5
317,8308,J V Richards (Rietfontein) Ltd,Truro,,1,yes,,,2020,5
318,8342,CORNISH FARMHOUSE BACON COMPANY,Holsworthy,EX226LE,1,yes,227871.0,98585.0,2020,5
319,8354,C and S Meats Ltd,Sherbourne,DT9 6HX,1,yes,,,2020,5
320,8357,J AND J FARMERS ABATTOIR,Holsworthy,EX226RL,1,yes,229755.0,97102.0,2020,5
321,8369,Tideford Abattoir Limited,Saltash,PL125HN,1,yes,234936.0,59845.0,2019,3
322,9001,ABP Holdings Ltd (Trading as ABP (Newry),NEWRY,BT342PD,4,yes,,,2020,5
323,9012,Dunbia (Northern Ireland),DUNGANNON ,BT701NJ,4,yes,,,2020,5
324,9016,Foyle Meats Ltd,LONDONDERRY,BT476TJ,4,yes,,,2020,5
325,9021,William Grant & Co Ltd,LONDONDERRY ,BT488JP,4,yes,,,2020,5
326,9023,Linden Foods Ltd,DUNGANNON ,BT701NJ,4,yes,,,2020,5
327,9033,ABP(Lurgan) Ltd,CRAIGAVON,BT679JD,4,yes,,,2020,5
328,9042,Foyle Omagh Ltd,OMAGH,BT790BQ,4,yes,,,2020,5
329,9045,Cranswick Country Foods (Ballymena),BALLYMENA,BT421EA,4,yes,,,2020,5
330,9052,Karro Food Group Ltd,COOKSTOWN ,BT808PJ,4,yes,,,2020,5
331,9056,W D Meats Ltd,COLERAINE,BT522JR,4,yes,,,2020,5
332,9080,Primestock Meats,Lurgan,BT679JD,4,yes,,,2020,5
333,9131,Lakeview Farm Meats Ltd,Crumlin,BT294RS,4,yes,,,2020,5
334,9502,Moy Park Ltd,DUNGANNON ,BT716LN,4,yes,,,2020,5
335,9508,H.K. Dickey(t/a Dickeys Poultry),Cullybackey,BT421EG,4,yes,,,2018,5
336,9509,Moy Park Ballymena,BALLYMENA       ,BT423HA,4,yes,,,2020,5
337,9518,McKeown Fine Foods Ltd,BALLYMENA,BT448RN,4,yes,,,2020,5
338,9552,Kearns Poultry,BALLYMENA ,BT449AA,4,yes,,,2020,5
339,9554,Rockvale Poultry,ARMAGH,BT619ND,4,yes,,,2020,5
340,GX401,State of Guernsey Abattoir,Guernsey,GY2 4JN,5,yes,,,2019,8
341,4014,Freemans of Newent Limited,Hereford,HR4 9PB,1,yes,,,2020,5
342,5001,Bernard Matthews Foods Ltd,Norwich,NR9 5QD,1,yes,,,2018,3
343,7132,Farmers Fresh (Wales) Limited,Wrexham,LL130TS,2,yes,337336.0,347909.0,2020,5
344,1598,Dunbia (UK),Saltcoats,,3,yes,,,2020,5
345,2100,Dunbia Carnaby,Bridlington,,1,yes,,,2020,5
346,2388,Dunbia Cumbria,Ulverston,,1,yes,,,2020,5
347,2630,Agro Foods (Ashford) Limited,Ashford,,1,yes,,,2019,8
348,4030,Northern Poultry UK Limited,Bolton,BL3 6AU,1,yes,,,2018,9
349,5106,Dunbia Cardington,Bedford,MK443SB,1,yes,508818.0,249106.0,2020,5
350,8046,Dunbia  Treburley,Launceston,,1,yes,,,2019,3
351,8071,Dunbia West Devon,Okehampton,,1,yes,,,2020,5
352,1216,Pasture-to-Plate,Gordon,,3,yes,,,2020,5
353,2450,AL UMMAH LIMITED,Barnsley,S72 9BG,1,yes,,,2020,5
354,2670,Manifold Valley Meats,Leek,ST137TT,1,yes,408365.0,353435.0,2020,5
355,4073,ABP ELLESMERE,Ellesmere,SY129BL,1,yes,339643.0,328883.0,2020,5
356,5264,Sweetland Ltd,Great Dunmow,CM6 1DA,1,yes,,,2019,1
357,1106,Kepak Group Limited,Aberdeen,,3,yes,,,2020,5
358,7176,Kepak Food Group Limited,Merthyr Tydfil,CF482TA,2,yes,307802.0,208695.0,2020,5
359,8073,Kepak Food Group Limited,Bodmin,PL312QB,1,yes,208344.0,67135.0,2018,10
360,2662,Norfolk Meat Traders Ltd,Banham,NR162BX,1,yes,604748.0,288767.0,2019,7
361,8073,St Merryn Bodmin,Bodmin,PL312QB,1,yes,208344.0,67135.0,2020,5
362,IOM1,Isle of Man Meats,Isle of Man,IM4 4QE,7,yes,,,2020,5
363,2399,Chai Meats Limited,Bradford,BD3 9RD,1,yes,,,2020,5
364,5218,Arthur J Howell & Son,Wells Next The Sea,NR231AN,1,yes,591678.0,343666.0,2020,5
365,7023,Cig Eryri - Snowdonia Meats Cyf,Blaenau Ffestiniog,LL414PY,2,yes,271610.0,340732.0,2020,5
366,4015,A.S. Audhali Farm Gate Fresh Poultry Limited,Hatton,CV357HZ,1,yes,422243.0,268854.0,2019,6
367,2368,J S Quality Meats Limited,Uttoxeter,ST145AA,1,yes,409599.0,334548.0,2020,5
368,2748,S and Y abattoir Ltd,Bacup,OL130ET,1,yes,385862.0,421772.0,2019,12
369,3007,Faccenda Foods Limited (T/A Avara Foods),Brackley,NN137EX,1,yes,459223.0,236768.0,2020,5
370,4015,Shafa Farm Limited,Hatton,CV357HZ,1,yes,422243.0,268854.0,2020,5
371,4026,Faccenda Foods Limited (T/A Avara Foods),Scropton,DE655PS,1,yes,419934.0,330053.0,2020,5
372,7226,Picton Quality Meats Limited,Pembrokeshire,SA624BS,2,yes,196290.0,218525.0,2019,8
373,2662,Moor Farm Meats Limited,Banham,NR162BX,1,yes,604748.0,288767.0,2020,3
374,4199,Leansale Limited (TA Roopyal Laham Halaal Butchers),Birmingham,B11 4AA,1,yes,,,2020,5
375,4227,Manchester Abattoir Ltd,Stockport,SK4 1BJ,1,yes,,,2020,5
376,9301,DMP Foods Ltd,Crumlin,BT294RS,4,yes,,,2020,5
377,7226,Euro Farm Wales,Pembrokeshire,SA624BS,2,yes,196290.0,218525.0,2020,5
378,2750,Cranswick Country Foods Eye,Yaxley,IP238BW,1,yes,612907.0,274817.0,2020,5
379,5008,Shazan Foods Limited,Eye,IP237AJ,1,yes,614371.0,273759.0,2020,5
380,1100,2 Sisters Food Group Ltd,Coupar Angus,,3,yes,,,2020,5
381,2762,H M Venison Ltd,Barnsley,S75 3DR,1,yes,,,2020,5
382,2761,Westcountry Premium Venison Ltd,Launceston,PL158QN,1,yes,220362.0,84902.0,2020,5
383,2768,Farm Fresh Quality Foods Co. Ltd,Ashford,TN270JL,1,yes,595437.0,148950.0,2020,5
384,1160,Millers of Speyside,Grantown-on-Spey,,3,yes,,,2020,5
